Input Term,Best Match,URI,Similarity Score
##?,,,
##0,,,
##0+,,,
#-0-I,,,
#0 I,,,
#0&I,,,
#0+I,,,
#0,,,,
#I,,,
#0-I,,,
#0 & I,,,
#0 + I,,,
#0 - I,,,
#0,,,
#I,,,
#0,,,
#I.,,,
#0I,,,
#0,,,
#II,,,
#0,,,
#I,,,
#II,,,
#0-I-II,,,
#0-III,,,
#0,,,
#I,,,
#II,,,
#0,,,
#III,,,
#0,,,
#III.,,,
#0,,,
#I,,,
#III,,,
#0,,,
#I,,,
#III.,,,
#0. I. III.,,,
#0,,,
#II,,,
#III,,,
#0,,,
#II,,,
#III.,,,
#0 I II III,,,
#0,,,
#I,,,
#II,,,
#III,,,
#0-I; II-III,,,
#0,,,
#I,,,
#ii,,,
#iii,,,
#0,,,
#I,,,
#ii,,,
#III,,,
#0,,,
#I,,,
#II,,,
#III,,,
#0,,,
#I,,,
#II,,,
#III,,,
#0,,,
#I,,,
#II,,,
#III.,,,
#0,,,
#I-II,,,
#III,,,
#0 Larva,,,
#0-V,,,
#1,,,
N#10-14 years,life span,http://purl.obolibrary.org/obo/PATO_0000050,0.5506,
N#>10-15 g,weight,http://purl.obolibrary.org/obo/PATO_0000128,0.4870,
N#102 adults,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023, 
N#133 juveniles,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.6910,
N#<10 g,weight,http://purl.obolibrary.org/obo/PATO_0000128,0.4648,
#1,,,
N#2-2 years,life span,http://purl.obolibrary.org/obo/PATO_0000050,0.4599,
N#13 adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
N#15-18 years,age,http://purl.obolibrary.org/obo/PATO_0000011,0.6417,
N#>15-20 g,weight,http://purl.obolibrary.org/obo/PATO_0000128,
N#16 adults,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
N#4 juneniles,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,
N#18-73,age,http://purl.obolibrary.org/obo/PATO_0000011,0.4644,
N#>18 years,age,http://purl.obolibrary.org/obo/PATO_0000011,0.6137,
N#1 adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.5713,
N#1 Adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.5713,
N#1 adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.5713,
N#1 juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.8201,
N#1 Adult | 1 Pupa,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,0.5696
N#1 adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.5713
N#2 juveniles,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.7168
N#1 Imm,immature,http://purl.obolibrary.org/obo/PATO_0001501,
N#1 juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.820
N#1 Larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,0.8875
#1. Protospores. 2. Teleutospores,,,
N#1 Pupa,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,0.8020
N#1 Pupa | 1 Pupa,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,0.6828
N#1 year old,age,http://purl.obolibrary.org/obo/PATO_0000011,0.6285
#2018,,,
20 adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
N#>20 g,weight,http://purl.obolibrary.org/obo/PATO_0000128,0.4653
#22-81,,,
N#2 adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.5235
N#2 Adults,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.4887
N#2 Adults,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.4887
N#1 Immature,immature,http://purl.obolibrary.org/obo/PATO_0001501,0.7923
N#2 adults,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.4887
N#1 nymph,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,0.6449
N#35 - 40 years,life span,http://purl.obolibrary.org/obo/PATO_0000050,0.6114
N#3-6 years,life span,http://purl.obolibrary.org/obo/PATO_0000050,0.5610
N#3 adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.5031
N#3 immatures,immature,http://purl.obolibrary.org/obo/PATO_0001501,0.6572
N#1 egg,embryo stage,http://purl.obolibrary.org/obo/UBERON_0000068,
N#3 months,life span,http://purl.obolibrary.org/obo/PATO_0000050,0.4893
N#3 nymph,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,0.6344
N#1 male,male,http://purl.obolibrary.org/obo/PATO_0000384,0.7670
N#3 nymph,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,0.6344
N#2 larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,0.8636
#5,,,
#50,,,
N#57 years,life span,http://purl.obolibrary.org/obo/PATO_0000050,0.6212
N#5 adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
N#5 Pupa,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,0.7475
N#5th stage nymph,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,0.9001
N#>6 Weeks Old,age,http://purl.obolibrary.org/obo/PATO_0000011,0.5051
N#7-9 years,life span,http://purl.obolibrary.org/obo/PATO_0000050,0.5697
N#7 adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
N#7 Adults,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
N#1 Pupae,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,0.7114
#a,,,
#A,,,
#Abundant sporulation,,,
#Acantella,,,
active,active,http://purl.obolibrary.org/obo/PATO_0002354,1.0000
acult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
adlt,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
#adolescaria,,,
adullt,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
adult;;,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.5908
adult;;;,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.5550
Adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
Adult ?,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6171
Adult.,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6685
Adult\\,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6090
ADULT,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
Àdult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
adult >14 g,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
