Input Term,Best Match,URI,Similarity Score
-,h minus,http://purl.obolibrary.org/obo/PATO_0001345,0.4417
1 each cheek below right eye,ocular side,http://purl.obolibrary.org/obo/UBERON_2002255,0.5944
1 of each pectoral fin,pectoral fin,http://purl.obolibrary.org/obo/UBERON_0000151,0.8647
1 on each cheek below eye,cheek scale,http://purl.obolibrary.org/obo/UBERON_0018312,0.6240
1 on each cheek below left eye,cheek scale,http://purl.obolibrary.org/obo/UBERON_0018312,0.6061
1st gill arch on racker,pharyngeal arch derived gill,http://purl.obolibrary.org/obo/UBERON_0011150,0.6044
1 under each eye,multi-unit eye,http://purl.obolibrary.org/obo/UBERON_0015165,0.6349
1 under left eye,left eye,http://purl.obolibrary.org/obo/UBERON_0004548,0.7483
1 right eye,right eye,http://purl.obolibrary.org/obo/UBERON_0004549,0.8677
2 guts,gut wall,http://purl.obolibrary.org/obo/UBERON_0000328,0.5548
3 under rt eye,eye,http://purl.obolibrary.org/obo/UBERON_0000970,0.5324
1 under lf eye,eye,http://purl.obolibrary.org/obo/UBERON_0000970,0.5557
4th stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,0.7327
abd cavity,abdominopelvic cavity,http://purl.obolibrary.org/obo/UBERON_0035819,0.8570
swimbladder serosa,gallbladder serosa,http://purl.obolibrary.org/obo/UBERON_0004783,0.7605
abd. mesenteric venules,peritoneal mesentery,http://purl.obolibrary.org/obo/UBERON_0007826,0.5937
abdomen,abdomen,http://purl.obolibrary.org/obo/UBERON_0000916,1.0000
abdomen (encysted),abdomen,http://purl.obolibrary.org/obo/UBERON_0000916,0.8115
abdomen,abdomen,http://purl.obolibrary.org/obo/UBERON_0000916,1.0000
liver,liver,http://purl.obolibrary.org/obo/UBERON_0002107,1.0000
abdomen (respiratory structure,respiratory tract,http://purl.obolibrary.org/obo/UBERON_0000065,0.7467
abdomen skin,skin of abdomen,http://purl.obolibrary.org/obo/UBERON_0001416,0.9783
abdomen,abdomen,http://purl.obolibrary.org/obo/UBERON_0000916,1.0000
sternum,sternum,http://purl.obolibrary.org/obo/UBERON_0000975,1.0000
limb axillae,axillary nerve,http://purl.obolibrary.org/obo/UBERON_0001493,0.7490
abdomen,abdomen,http://purl.obolibrary.org/obo/UBERON_0000916,1.0000
sternum,sternum,http://purl.obolibrary.org/obo/UBERON_0000975,1.0000
limbs,limb,http://purl.obolibrary.org/obo/UBERON_0002101,0.8267
abdomen,abdomen,http://purl.obolibrary.org/obo/UBERON_0000916,1.0000
sternum,sternum,http://purl.obolibrary.org/obo/UBERON_0000975,1.0000
plecopods,plerome,http://purl.obolibrary.org/obo/PO_0008035,0.6451
abdomen,abdomen,http://purl.obolibrary.org/obo/UBERON_0000916,1.0000
thorax,skin of thorax,http://purl.obolibrary.org/obo/UBERON_0001418,0.7623
abdomimal cavity,abdominopelvic cavity,http://purl.obolibrary.org/obo/UBERON_0035819,0.9455
abdominal abscess,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,0.6408
abdominala cavity,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,0.9670
abdominal air sac,abdominal air sac,http://purl.obolibrary.org/obo/UBERON_0009067,1.0000
abdominal air sacs,abdominal air sac,http://purl.obolibrary.org/obo/UBERON_0009067,0.9600
abdominal and pleural cavities,pleural cavity,http://purl.obolibrary.org/obo/UBERON_0002402,0.7962
abdominal blood vessels,abdomen blood vessel,http://purl.obolibrary.org/obo/UBERON_0003497,0.8947
abdominal body wall cyst,abdominal wall,http://purl.obolibrary.org/obo/UBERON_0003697,0.6585
abdominal branch,abdominal segment of trunk,http://purl.obolibrary.org/obo/UBERON_0002417,0.6676
abdominal cavity,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,1.0000
abdominal cavity cyst,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,0.7389
abdominal cavity,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,1.0000
lg intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.7717
abdominal cavity,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,1.0000
liver,liver,http://purl.obolibrary.org/obo/UBERON_0002107,1.0000
abdominal cavity,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,1.0000
pyloric caec,obsolete pyloric caecum,http://purl.obolibrary.org/obo/UBERON_2002253,0.8141
abdominal cav (subcutaneous),abdominal viscera,http://purl.obolibrary.org/obo/UBERON_0017672,0.5799
abdominal fascia,abdominal fascia,http://purl.obolibrary.org/obo/UBERON_0013493,1.0000
abdominal granuloma,granulocyte,http://purl.obolibrary.org/obo/CL_0000094,0.7015
abdominal lymph node,abdominal lymph node,http://purl.obolibrary.org/obo/UBERON_0002507,1.0000
abdominal mesenteries,mesentery of stomach,http://purl.obolibrary.org/obo/UBERON_0003281,0.7529
liver,liver,http://purl.obolibrary.org/obo/UBERON_0002107,1.0000
abdominal mesentery,mesentery of stomach,http://purl.obolibrary.org/obo/UBERON_0003281,0.8459
abdominal muscle,muscle of abdomen,http://purl.obolibrary.org/obo/UBERON_0002378,0.9188
abdominal muscles,muscle of abdomen,http://purl.obolibrary.org/obo/UBERON_0002378,0.8788
abdominal muscles,muscle of abdomen,http://purl.obolibrary.org/obo/UBERON_0002378,0.8788
diaphragm,diaphragm,http://purl.obolibrary.org/obo/UBERON_0001103,1.0000
abdominal skin,skin of abdomen,http://purl.obolibrary.org/obo/UBERON_0001416,0.9260
abdominal sternum lt iii,sternum,http://purl.obolibrary.org/obo/UBERON_0000975,0.7102
abdominal & thoracic cavities,thoracic cavity,http://purl.obolibrary.org/obo/UBERON_0002224,0.8020
abdominal thoracic cavities,thoracic cavity,http://purl.obolibrary.org/obo/UBERON_0002224,0.8175
abdominal,abdomen,http://purl.obolibrary.org/obo/UBERON_0000916,0.9099
thoracic muscles,thoracic segment muscle,http://purl.obolibrary.org/obo/UBERON_0003830,0.8682
abdominal & thoracic wall,abdominal wall,http://purl.obolibrary.org/obo/UBERON_0003697,0.8150
abdominal viscera,abdominal viscera,http://purl.obolibrary.org/obo/UBERON_0017672,1.0000
abdominal wall,abdominal wall,http://purl.obolibrary.org/obo/UBERON_0003697,1.0000
abdominal wall abscess,abdominal wall,http://purl.obolibrary.org/obo/UBERON_0003697,0.7573
