Input Term,Best Match,URI,Similarity Score
?,well,http://purl.obolibrary.org/obo/ENVO_00000026,0.4588
0,amount,http://purl.obolibrary.org/obo/PATO_0000070,0.5288
0+,lead(0),http://purl.obolibrary.org/obo/CHEBI_27889,0.5235
-0-I,h minus,http://purl.obolibrary.org/obo/PATO_0001345,0.5080
0 I,complex,http://purl.obolibrary.org/obo/PATO_0001504,0.4736
0&I,complex,http://purl.obolibrary.org/obo/PATO_0001504,0.4706
0+I,complex,http://purl.obolibrary.org/obo/PATO_0001504,0.5523
0,amount,http://purl.obolibrary.org/obo/PATO_0000070,0.5288
I,well,http://purl.obolibrary.org/obo/ENVO_00000026,0.4871
0-I,I-cell,http://purl.obolibrary.org/obo/BTO_0000616,0.4884
0 & I,complex,http://purl.obolibrary.org/obo/PATO_0001504,0.4706
0 + I,complex,http://purl.obolibrary.org/obo/PATO_0001504,0.5523
0 - I,I-cell,http://purl.obolibrary.org/obo/BTO_0000616,0.4884
0,amount,http://purl.obolibrary.org/obo/PATO_0000070,0.5288
I,well,http://purl.obolibrary.org/obo/ENVO_00000026,0.4871
0,amount,http://purl.obolibrary.org/obo/PATO_0000070,0.5288
I.,well,http://purl.obolibrary.org/obo/ENVO_00000026,0.4713
0I,platinum(0),http://purl.obolibrary.org/obo/CHEBI_33400,0.4938
0,amount,http://purl.obolibrary.org/obo/PATO_0000070,0.5288
II,active,http://purl.obolibrary.org/obo/PATO_0002354,0.4242
0,amount,http://purl.obolibrary.org/obo/PATO_0000070,0.5288
I,well,http://purl.obolibrary.org/obo/ENVO_00000026,0.4871
II,active,http://purl.obolibrary.org/obo/PATO_0002354,0.4242
0-I-II,I-cell,http://purl.obolibrary.org/obo/BTO_0000616,0.5268
0-III,"buta-1,3-diene",http://purl.obolibrary.org/obo/CHEBI_39478,0.5299
0,amount,http://purl.obolibrary.org/obo/PATO_0000070,0.5288
I,well,http://purl.obolibrary.org/obo/ENVO_00000026,0.4871
II,active,http://purl.obolibrary.org/obo/PATO_0002354,0.4242
0,amount,http://purl.obolibrary.org/obo/PATO_0000070,0.5288
III,active,http://purl.obolibrary.org/obo/PATO_0002354,0.4640
0,amount,http://purl.obolibrary.org/obo/PATO_0000070,0.5288
III.,multiple,http://purl.obolibrary.org/obo/PATO_0002118,0.4192
0,amount,http://purl.obolibrary.org/obo/PATO_0000070,0.5288
I,well,http://purl.obolibrary.org/obo/ENVO_00000026,0.4871
III,active,http://purl.obolibrary.org/obo/PATO_0002354,0.4640
0,amount,http://purl.obolibrary.org/obo/PATO_0000070,0.5288
I,well,http://purl.obolibrary.org/obo/ENVO_00000026,0.4871
III.,multiple,http://purl.obolibrary.org/obo/PATO_0002118,0.4192
0. I. III.,lead(0),http://purl.obolibrary.org/obo/CHEBI_27889,0.4318
0,amount,http://purl.obolibrary.org/obo/PATO_0000070,0.5288
II,active,http://purl.obolibrary.org/obo/PATO_0002354,0.4242
III,active,http://purl.obolibrary.org/obo/PATO_0002354,0.4640
0,amount,http://purl.obolibrary.org/obo/PATO_0000070,0.5288
II,active,http://purl.obolibrary.org/obo/PATO_0002354,0.4242
III.,multiple,http://purl.obolibrary.org/obo/PATO_0002118,0.4192
0 I II III,complex,http://purl.obolibrary.org/obo/PATO_0001504,0.4818
0,amount,http://purl.obolibrary.org/obo/PATO_0000070,0.5288
I,well,http://purl.obolibrary.org/obo/ENVO_00000026,0.4871
II,active,http://purl.obolibrary.org/obo/PATO_0002354,0.4242
III,active,http://purl.obolibrary.org/obo/PATO_0002354,0.4640
0-I; II-III,I-cell,http://purl.obolibrary.org/obo/BTO_0000616,0.4801
0,amount,http://purl.obolibrary.org/obo/PATO_0000070,0.5288
I,well,http://purl.obolibrary.org/obo/ENVO_00000026,0.4871
ii,active,http://purl.obolibrary.org/obo/PATO_0002354,0.4242
iii,active,http://purl.obolibrary.org/obo/PATO_0002354,0.4640
0,amount,http://purl.obolibrary.org/obo/PATO_0000070,0.5288
I,well,http://purl.obolibrary.org/obo/ENVO_00000026,0.4871
ii,active,http://purl.obolibrary.org/obo/PATO_0002354,0.4242
III,active,http://purl.obolibrary.org/obo/PATO_0002354,0.4640
0,amount,http://purl.obolibrary.org/obo/PATO_0000070,0.5288
I,well,http://purl.obolibrary.org/obo/ENVO_00000026,0.4871
II,active,http://purl.obolibrary.org/obo/PATO_0002354,0.4242
III,active,http://purl.obolibrary.org/obo/PATO_0002354,0.4640
0,amount,http://purl.obolibrary.org/obo/PATO_0000070,0.5288
I,well,http://purl.obolibrary.org/obo/ENVO_00000026,0.4871
II,active,http://purl.obolibrary.org/obo/PATO_0002354,0.4242
III,active,http://purl.obolibrary.org/obo/PATO_0002354,0.4640
0,amount,http://purl.obolibrary.org/obo/PATO_0000070,0.5288
I,well,http://purl.obolibrary.org/obo/ENVO_00000026,0.4871
II,active,http://purl.obolibrary.org/obo/PATO_0002354,0.4242
III.,multiple,http://purl.obolibrary.org/obo/PATO_0002118,0.4192
0,amount,http://purl.obolibrary.org/obo/PATO_0000070,0.5288
I-II,I-cell,http://purl.obolibrary.org/obo/BTO_0000616,0.5953
III,active,http://purl.obolibrary.org/obo/PATO_0002354,0.4640
0 Larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,0.8501
0-V,V-shaped,http://purl.obolibrary.org/obo/PATO_0002224,0.5139
1,digit 1,http://purl.obolibrary.org/obo/UBERON_0006048,0.5536
10-14 years,life span,http://purl.obolibrary.org/obo/PATO_0000050,0.5506
>10-15 g,weight,http://purl.obolibrary.org/obo/PATO_0000128,0.4870
102 adults,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.4897
133 juveniles,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.6910
<10 g,weight,http://purl.obolibrary.org/obo/PATO_0000128,0.4648
1,digit 1,http://purl.obolibrary.org/obo/UBERON_0006048,0.5536
2-2 years,life span,http://purl.obolibrary.org/obo/PATO_0000050,0.4599
13 adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.7490
15-18 years,age,http://purl.obolibrary.org/obo/PATO_0000011,0.6417
>15-20 g,normal amount,http://purl.obolibrary.org/obo/PATO_0002050,0.4819
16 adults,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.6847
4 juneniles,mesomere 4,http://purl.obolibrary.org/obo/UBERON_4200162,0.4506
18-73,29-13 cell,http://purl.obolibrary.org/obo/BTO_0004635,0.5085
>18 years,age,http://purl.obolibrary.org/obo/PATO_0000011,0.6137
1 adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.7479
1 Adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.7479
1 adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.7479
1 juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.8201
1 Adult | 1 Pupa,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,0.5696
1 adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.7479
2 juveniles,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.7168
1 Imm,obsolete MeM1,http://purl.obolibrary.org/obo/UBERON_2005216,0.5241
1 juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.8201
1 Larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,0.8875
1. Protospores. 2. Teleutospores,teliospore,http://purl.obolibrary.org/obo/FAO_0000022,0.6385
1 Pupa,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,0.8020
1 Pupa | 1 Pupa,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,0.6828
1 year old,age,http://purl.obolibrary.org/obo/PATO_0000011,0.6285
2018,season,http://purl.obolibrary.org/obo/ENVO_03000096,0.4441
20 adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.7631
>20 g,weight,http://purl.obolibrary.org/obo/PATO_0000128,0.4653
22-81,11-9-1-4 cell,http://purl.obolibrary.org/obo/BTO_0002603,0.4659
2 adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.6903
2 Adults,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.6121
2 Adults,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.6121
1 Immature,immature,http://purl.obolibrary.org/obo/PATO_0001501,0.7923
2 adults,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.6121
1 nymph,nymph,http://purl.obolibrary.org/obo/BTO_0000954,0.8179
35 - 40 years,life span,http://purl.obolibrary.org/obo/PATO_0000050,0.6114
3-6 years,life span,http://purl.obolibrary.org/obo/PATO_0000050,0.5610
3 adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.6829
3 immatures,immature,http://purl.obolibrary.org/obo/PATO_0001501,0.6572
1 egg,egg,http://purl.obolibrary.org/obo/BTO_0000369,0.8091
3 months,life span,http://purl.obolibrary.org/obo/PATO_0000050,0.4893
3 nymph,nymph,http://purl.obolibrary.org/obo/BTO_0000954,0.7855
1 male,male,http://purl.obolibrary.org/obo/PATO_0000384,0.7670
3 nymph,nymph,http://purl.obolibrary.org/obo/BTO_0000954,0.7855
2 larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,0.8636
5,digit 5,http://purl.obolibrary.org/obo/UBERON_0006052,0.6710
50,amount,http://purl.obolibrary.org/obo/PATO_0000070,0.5446
57 years,life span,http://purl.obolibrary.org/obo/PATO_0000050,0.6212
5 adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.7056
5 Pupa,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,0.7475
5th stage nymph,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,0.9001
>6 Weeks Old,fetus,http://purl.obolibrary.org/obo/BTO_0000449,0.5288
7-9 years,life span,http://purl.obolibrary.org/obo/PATO_0000050,0.5697
7 adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.7054
7 Adults,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.5888
1 Pupae,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,0.7114
a,anus,http://purl.obolibrary.org/obo/UBERON_0001245,0.5547
A,anus,http://purl.obolibrary.org/obo/UBERON_0001245,0.5547
Abundant sporulation,copulation,http://purl.obolibrary.org/obo/GO_0007620,0.5205
Acantella,acrisol,http://purl.obolibrary.org/obo/ENVO_00002234,0.6428
active,active,http://purl.obolibrary.org/obo/PATO_0002354,1.0000
acult,acinar,http://purl.obolibrary.org/obo/PATO_0002422,0.6616
adlt,adjuvant,http://purl.obolibrary.org/obo/CHEBI_60809,0.6444
adolescaria,Eupercaria,http://purl.obolibrary.org/obo/NCBITaxon_1489922,0.6682
adullt,ADP,http://purl.obolibrary.org/obo/CHEBI_16761,0.6452
adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
adult;;,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8254
adult;;;,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.7638
Adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
Adult ?,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8676
Adult.,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.9566
Adult\\,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8615
ADULT,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
Àdult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
adult >14 g,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.6764
adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
adult | adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.9230
adult adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.9577
adult; adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.9528
adult; adult;;,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8825
adult; adult;;;,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8431
adult;; adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.9016
adult;adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.9528
adult; adult; adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8989
adult; adult; adult;;,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8479
adult; adult; adult; adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8530
adult; adult; adult; adult; adult; adult; adult; adult; adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.7110
adult | adult | adult | nymph,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.6840
adult; adult; egg,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.7634
adult; adult; eggs,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.7059
adult; adult; embryo,embryo,http://purl.obolibrary.org/obo/UBERON_0000922,0.7007
adult; adult; immature,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8675
adult; adult; juvenile,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8428
adult; adult; larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,0.7544
adult; adult; larvae,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7274
adult; adult; microfilaria,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6744
adult; adult; microfilariae,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7110
adult; adult; young,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8948
adult; adult; young;;;,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8277
adult and eggs,egg,http://purl.obolibrary.org/obo/BTO_0000369,0.6682
Adult and Juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.8382
adult and larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,0.8098
Adult and Nymph,nymph,http://purl.obolibrary.org/obo/BTO_0000954,0.7314
Adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
Brood,brood viability,http://purl.obolibrary.org/obo/PATO_0001497,0.8715
Adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
Brood,brood viability,http://purl.obolibrary.org/obo/PATO_0001497,0.8715
adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
caterpillar,caterpillar stage,http://purl.obolibrary.org/obo/UBERON_0014864,0.7834
adult; cystacanth,Cyrtacanthacridinae,http://purl.obolibrary.org/obo/NCBITaxon_37267,0.6203
adult; cystacanths,Cyrtacanthacridinae,http://purl.obolibrary.org/obo/NCBITaxon_37267,0.6565
adult; egg,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.7649
adult; eggs,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.7122
adult;egg(s),egg,http://purl.obolibrary.org/obo/BTO_0000369,0.6898
Adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
egg sac,yolk sac,http://purl.obolibrary.org/obo/UBERON_0001040,0.7901
Adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
Egg sac,yolk sac,http://purl.obolibrary.org/obo/UBERON_0001040,0.7901
adult; embryo,embryo,http://purl.obolibrary.org/obo/UBERON_0000922,0.7703
adult; embryos,embryo,http://purl.obolibrary.org/obo/UBERON_0000922,0.8024
adult female,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8373
Adult Female,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8373
adult female - alate queen,alate adult,http://purl.obolibrary.org/obo/BTO_0004984,0.6034
adult female - dealate queen,female gamete,http://purl.obolibrary.org/obo/CL_0000675,0.5258
adult female - worker,female,http://purl.obolibrary.org/obo/PATO_0000383,0.6100
adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
imm.,immobile,http://purl.obolibrary.org/obo/PATO_0000300,0.4478
Adult. imm,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8154
adult | immature,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8330
adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
immature,immature,http://purl.obolibrary.org/obo/PATO_0001501,1.0000
adult; immature,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8581
adult; immature;;,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.7937
adult;immature,adult,http://purl.obolibrary.org/obo/BTO_0001043,0.8581
Adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
immature,immature,http://purl.obolibrary.org/obo/PATO_0001501,1.0000
Adult,adult,http://purl.obolibrary.org/obo/BTO_0001043,1.0000
Immature,immature,http://purl.obolibrary.org/obo/PATO_0001501,1.0000
